weights_index,architecture,flop,params,train_time10,train_acc10,valid_acc10,train_time50,train_acc50,valid_acc50,test_acc50,gpu_latency,rasp_latency,fpga_latency,mcu_latency
001-15,"Genotype(normal=[('none', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 1), ('avg_pool_3x3', 0), ('skip_connect', 0), ('skip_connect', 2), ('sep_conv_3x3', 4), ('skip_connect', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 3), ('none', 0), ('avg_pool_3x3', 0), ('none', 2)], reduce_concat=range(2, 6))",373.180608,2.258326,0:13:17,77.668,81.71,1:06:41,88.21,92.21,92.20999753,19.34651065,176.85,380.23,542.83
001-16,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 4)], reduce_concat=range(2, 6))",732.632256,4.457206,0:28:57,71.31,76.56,2:25:01,86.032,91.6,91.59999724,39.26961217,182.81,315.84,450.09
001-17,"Genotype(normal=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('skip_connect', 3), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('none', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('max_pool_3x3', 0), ('avg_pool_3x3', 0), ('avg_pool_3x3', 3), ('max_pool_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",466.133184,2.822302,0:17:25,76.626,81.01,1:27:18,86.598,92.06,92.0599975,24.39100747,163.21,460.37,434.07
001-18,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 0), ('sep_conv_5x5', 4), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 4)], reduce_concat=range(2, 6))",732.632256,4.457206,0:28:31,71.206,73.9,2:23:06,85.664,91.64,91.63999744,39.21318002,174.66,357.16,490.62
001-19,"Genotype(normal=[('none', 1), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('skip_connect', 0), ('sep_conv_5x5', 2), ('dil_conv_5x5', 0), ('dil_conv_5x5', 4), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('none', 1), ('skip_connect', 0), ('skip_connect', 2), ('none', 0), ('sep_conv_5x5', 0), ('skip_connect', 3), ('dil_conv_3x3', 0), ('avg_pool_3x3', 4)], reduce_concat=range(2, 6))",477.855936,2.868742,0:18:07,78.278,83.66,1:31:04,88.908,92.58,92.57999722,25.79555497,211.3,469.56,459.44
001-20,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",720.245952,4.408822,0:27:46,71.53,77.97,2:20:23,86.204,91.9,91.89999742,38.1533639,238.71,336.92,502.22
001-21,"Genotype(normal=[('none', 1), ('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('dil_conv_5x5', 0), ('avg_pool_3x3', 3), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('none', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0), ('sep_conv_5x5', 3), ('dil_conv_5x5', 0), ('none', 3)], reduce_concat=range(2, 6))",422.08992,2.589454,0:16:10,74.634,80.24,1:21:04,84.358,91.3,91.29999738,23.27835627,262.86,427.23,400.87
001-22,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_5x5', 4), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",720.245952,4.408822,0:28:43,70.66,77.9,2:21:38,85.636,91.27,91.26999753,38.14603586,241.4,485.59,462.32
001-23,"Genotype(normal=[('avg_pool_3x3', 1), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('avg_pool_3x3', 0), ('dil_conv_3x3', 2), ('none', 0), ('sep_conv_3x3', 4), ('max_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('sep_conv_5x5', 0), ('max_pool_3x3', 0), ('dil_conv_3x3', 2), ('avg_pool_3x3', 0), ('dil_conv_3x3', 3), ('skip_connect', 0), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6))",341.440704,2.112958,0:13:33,73.222,78.54,1:08:12,83.744,90.31,90.30999739,19.43340621,155.41,318.81,532.83
001-24,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",720.245952,4.408822,0:28:00,72.406,75.68,2:21:33,86.686,92.43,92.42999774,38.18661852,214.84,449.3,430.14
001-25,"Genotype(normal=[('sep_conv_3x3', 1), ('none', 0), ('skip_connect', 0), ('max_pool_3x3', 1), ('none', 2), ('dil_conv_3x3', 0), ('max_pool_3x3', 3), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_5x5', 0), ('none', 2), ('skip_connect', 0), ('avg_pool_3x3', 3), ('max_pool_3x3', 0), ('max_pool_3x3', 3)], reduce_concat=range(2, 6))",331.210944,2.02807,0:12:26,77.458,80.96,1:02:29,88.05,92.38,92.37999744,18.39930048,287.87,486.78,491.91
001-27,"Genotype(normal=[('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 2), ('skip_connect', 0), ('sep_conv_3x3', 3), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('none', 0), ('dil_conv_5x5', 1), ('avg_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 0), ('dil_conv_3x3', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",485.2656,2.982142,0:17:56,76.684,80.1,1:29:52,88.592,92.93,92.92999731,25.11864033,285.83,333.82,400.5
001-28,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",720.245952,4.408822,0:27:50,70.996,71.48,2:20:00,86.272,91.7,91.69999757,38.1919416,151.71,301.77,515.29
001-29,"Genotype(normal=[('avg_pool_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 1), ('none', 0), ('skip_connect', 2), ('dil_conv_5x5', 0), ('dil_conv_5x5', 3), ('sep_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 2), ('dil_conv_5x5', 0), ('dil_conv_3x3', 3), ('skip_connect', 0), ('dil_conv_5x5', 3)], reduce_concat=range(2, 6))",386.70048,2.38339,0:14:17,77.524,81.91,1:11:47,87.748,92.11,92.1099976,20.64720101,190.41,436.73,447.7
001-30,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 3), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",720.245952,4.408822,0:27:56,72.662,79.01,2:19:32,86.358,92.15,92.14999735,38.19799886,181.16,473.6,406.3
001-31,"Genotype(normal=[('dil_conv_5x5', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 1), ('skip_connect', 0), ('dil_conv_5x5', 0), ('skip_connect', 2), ('dil_conv_3x3', 3), ('skip_connect', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('skip_connect', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 2), ('avg_pool_3x3', 0), ('sep_conv_3x3', 3), ('dil_conv_3x3', 0), ('sep_conv_3x3', 3)], reduce_concat=range(2, 6))",365.13504,2.277982,0:12:52,77.592,82,1:04:44,88.06,92.46,92.44999758,19.02379894,299.06,493.18,486.04
001-33,"Genotype(normal=[('avg_pool_3x3', 1), ('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 0), ('none', 2), ('sep_conv_5x5', 3), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('none', 1), ('dil_conv_3x3', 0), ('dil_conv_5x5', 2), ('skip_connect', 0), ('skip_connect', 3), ('dil_conv_3x3', 0), ('max_pool_3x3', 3)], reduce_concat=range(2, 6))",423.776448,2.537182,0:16:38,75.992,80.27,1:23:22,87.678,91.55,91.54999739,23.89386306,269.61,306.18,469.65
001-34,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",713.333952,4.345318,0:27:40,72.848,77.39,2:18:33,86.668,92.09,92.08999755,37.85709124,158.64,349.98,522.96
001-35,"Genotype(normal=[('skip_connect', 1), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('skip_connect', 0), ('skip_connect', 2), ('sep_conv_5x5', 3), ('skip_connect', 4)], normal_concat=range(2, 6), reduce=[('none', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('skip_connect', 3)], reduce_concat=range(2, 6))",398.008512,2.419894,0:14:20,78.438,82.32,1:11:47,90.83,93.37,93.36999744,21.13357544,275.56,389.05,435.98
001-36,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",710.32032,4.317022,0:27:21,71.968,77.61,2:17:45,86.182,91.94,91.92999724,37.79215569,239.16,364.29,481.11
001-37,"Genotype(normal=[('avg_pool_3x3', 1), ('max_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_3x3', 0), ('none', 2), ('avg_pool_3x3', 0), ('max_pool_3x3', 3), ('avg_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('max_pool_3x3', 2), ('dil_conv_3x3', 0), ('sep_conv_5x5', 2), ('dil_conv_3x3', 0), ('sep_conv_5x5', 2)], reduce_concat=range(2, 6))",291.59136,1.825462,0:11:11,77.58,78.61,0:56:23,87.352,92.02,92.01999779,16.5664012,245.86,452.77,418.07
001-39,"Genotype(normal=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 0), ('skip_connect', 2), ('avg_pool_3x3', 0), ('skip_connect', 3), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('skip_connect', 1), ('none', 0), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_3x3', 0), ('none', 2)], reduce_concat=range(2, 6))",445.977792,2.725318,0:16:26,73.556,79.25,1:22:24,85.654,91.25,91.24999773,23.16534801,250.96,334.52,482.94
001-40,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 3), ('dil_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",662.102208,4.025206,0:25:17,74.194,79.5,2:07:14,87.962,92.55,92.54999733,34.80601068,298.02,399.02,512.02
001-41,"Genotype(normal=[('skip_connect', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('sep_conv_5x5', 0), ('avg_pool_3x3', 2), ('none', 0), ('max_pool_3x3', 3), ('avg_pool_3x3', 1)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('dil_conv_3x3', 2), ('sep_conv_5x5', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('avg_pool_3x3', 2)], reduce_concat=range(2, 6))",399.363264,2.430262,0:15:12,75.466,76.95,1:16:14,88.118,92.07,92.06999752,22.19356709,275.76,499.14,458.5
001-42,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",657.955008,3.988054,0:25:23,73.034,74.02,2:06:30,87.446,92.44,92.43999756,34.68873038,281.1,307.06,419.32
001-43,"Genotype(normal=[('dil_conv_3x3', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('avg_pool_3x3', 0), ('sep_conv_3x3', 2), ('sep_conv_5x5', 1), ('max_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('none', 1), ('avg_pool_3x3', 0), ('dil_conv_3x3', 2), ('none', 0), ('sep_conv_5x5', 2), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2)], reduce_concat=range(2, 6))",402.542784,2.44171,0:16:00,77.24,79.61,1:20:28,86.374,92.06,92.0599976,23.11120796,215.03,462.58,451.07
001-45,"Genotype(normal=[('skip_connect', 1), ('none', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('avg_pool_3x3', 1), ('max_pool_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 2), ('dil_conv_3x3', 0), ('sep_conv_5x5', 2), ('dil_conv_3x3', 0), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))",300.245184,1.91035,0:11:26,72.41,77.58,0:57:30,85.306,90.86,90.85999742,16.91478958,256.55,496.19,500.95
001-46,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",657.955008,3.988054,0:25:05,74.39,77.63,2:06:27,87.962,92.58,92.57999722,34.7355247,248.09,437.5,527.38
001-47,"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('none', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('dil_conv_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",380.037312,2.352286,0:14:27,77.938,82.52,1:12:24,89.43,93.08,93.07999735,20.65985875,179.82,363.6,425.78
001-48,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",657.955008,3.988054,0:25:53,74.532,79.87,2:08:06,87.894,91.97,91.96999746,34.72546883,292.49,463.13,448.93
001-49,"Genotype(normal=[('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_5x5', 2)], normal_concat=range(2, 6), reduce=[('none', 0), ('dil_conv_5x5', 1), ('skip_connect', 0), ('skip_connect', 2), ('skip_connect', 0), ('sep_conv_5x5', 2), ('sep_conv_5x5', 0), ('none', 2)], reduce_concat=range(2, 6))",540.368064,3.297718,0:21:15,73.912,77.41,1:46:41,86.31,91.77,91.76999766,29.2928678,221.37,413.08,423.04
001-51,"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('avg_pool_3x3', 1), ('none', 0), ('sep_conv_5x5', 2), ('dil_conv_3x3', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 2)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 0), ('none', 2), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 2)], reduce_concat=range(2, 6))",443.7936,2.700478,0:17:07,79.602,80.67,1:25:54,91.184,93.73,93.72999734,24.05246549,173.27,491.23,512.54
001-53,"Genotype(normal=[('skip_connect', 1), ('avg_pool_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_5x5', 0), ('skip_connect', 2), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 0), ('sep_conv_3x3', 2), ('skip_connect', 0), ('sep_conv_5x5', 2), ('none', 0), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))",467.15616,2.856646,0:17:29,78.172,78.82,1:27:40,91.368,93.02,93.01999742,24.61009297,209.53,457.94,406.11
001-54,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",616.648896,3.759742,0:23:39,74.488,81.63,1:58:37,87.832,92.74,92.73999735,32.04294538,254.96,359.67,484.07
001-55,"Genotype(normal=[('avg_pool_3x3', 1), ('skip_connect', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('skip_connect', 0), ('sep_conv_3x3', 2), ('none', 0), ('dil_conv_3x3', 2), ('none', 0), ('max_pool_3x3', 2)], reduce_concat=range(2, 6))",312.907968,1.936486,0:11:37,78.148,78.63,0:58:18,89.304,92.88,92.87999736,16.90443406,247.73,304.34,526.25
001-56,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",558.80928,3.399886,0:20:56,78.58,81.5,1:45:01,91.008,93.53,93.52999764,28.84585323,197.41,384.96,472.65
001-57,"Genotype(normal=[('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2), ('max_pool_3x3', 0), ('none', 2), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2)], reduce_concat=range(2, 6))",505.559232,3.065086,0:19:53,79.998,85.46,1:39:45,90.47,93.8,93.80999728,28.02462983,292.72,441.35,509.92
001-58,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('skip_connect', 0), ('dil_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",558.80928,3.399886,0:20:56,78.628,80.99,1:45:02,91.108,93.64,93.63999727,28.86883287,259.67,345.92,495.41
001-59,"Genotype(normal=[('sep_conv_5x5', 1), ('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_5x5', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('max_pool_3x3', 1)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('none', 1), ('max_pool_3x3', 0), ('max_pool_3x3', 2), ('none', 0), ('sep_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))",471.99456,2.875006,0:18:35,78.932,79.21,1:33:18,89.534,93.49,93.48999756,25.90805182,215.29,401.96,542.82
001-60,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('skip_connect', 0), ('dil_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",558.80928,3.399886,0:20:56,79.076,79.74,1:45:03,91.424,93.72,93.71999751,28.86449113,221.45,481.97,508.42
001-61,"Genotype(normal=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('dil_conv_3x3', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 0), ('avg_pool_3x3', 2), ('avg_pool_3x3', 0), ('skip_connect', 1)], normal_concat=range(2, 6), reduce=[('none', 0), ('skip_connect', 1), ('none', 0), ('dil_conv_5x5', 2), ('sep_conv_3x3', 0), ('sep_conv_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 2)], reduce_concat=range(2, 6))",430.467264,2.62963,0:17:06,77.528,82.52,1:25:47,89.13,92.91,92.90999761,24.05216208,278.44,405.82,480.19
001-62,"Genotype(normal=[('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('skip_connect', 0), ('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('skip_connect', 0), ('dil_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('skip_connect', 1), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 0), ('skip_connect', 2)], reduce_concat=range(2, 6))",500.969664,3.04003,0:18:22,80.192,84.26,1:32:02,91.558,93.63,93.62999747,25.63005557,216.43,472.99,453.77
